Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
saving for retirement,25,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,16,Male,Low,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,61,Male,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,23,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,50,Male,Low,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,9,Female,Medium,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,42,Male,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,41,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,26,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,42,Female,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,62,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,11,Male,Medium,1,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,71,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,32,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,30,Male,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,29,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,32,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,66,Male,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,22,Female,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,47,Male,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,40,Female,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,24,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,14,Female,Medium,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,2,Male,High,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
starting a business,67,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,33,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,42,Male,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,36,Male,High,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,0,Male,High,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,24,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,50,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,38,Female,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,55,Female,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,12,Female,High,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,15,Female,Medium,2,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
starting a business,26,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,23,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,56,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,16,Female,Medium,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
starting a business,45,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,33,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,3,Male,Medium,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for education,58,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,71,Male,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,57,Female,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,20,Female,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,66,Male,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,60,Female,Medium,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,10,Female,Medium,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
planning a vacation,51,Male,Medium,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,0,Male,Low,5,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for education,70,Female,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,13,Female,Medium,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,25,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,47,Male,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,69,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,23,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,51,Female,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,54,Male,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,24,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,77,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,21,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,13,Male,Low,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
starting a business,66,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,41,Male,High,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,1,Male,Low,5,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for retirement,58,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,52,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,0,Female,Low,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
starting a business,57,Female,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,14,Male,Medium,5,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,7,Female,Low,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
saving for education,48,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,73,Male,Low,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,49,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,4,Male,Medium,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
buying a house,16,Female,Low,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,16,Female,Low,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,63,Male,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,16,Male,High,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
planning a vacation,67,Male,Low,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,54,Female,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,2,Male,High,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,32,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,57,Male,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,70,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,28,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,22,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,27,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,49,Female,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,4,Female,High,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for retirement,4,Male,Medium,4,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
planning a vacation,66,Male,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,75,Male,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,74,Male,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,66,Male,Low,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,75,Female,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,76,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,9,Male,Low,3,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,35,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,51,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,6,Male,High,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,31,Female,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,27,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,10,Female,High,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
starting a business,48,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,72,Male,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,79,Female,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,26,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,69,Male,High,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,64,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,36,Female,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,32,Female,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,37,Female,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,77,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,66,Female,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,40,Male,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,0,Female,Medium,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
planning a vacation,38,Female,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,64,Female,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,9,Female,Low,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
planning a vacation,62,Male,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,49,Female,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,3,Female,Medium,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,5,Female,Medium,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
starting a business,18,Male,Low,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for retirement,45,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,75,Female,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,64,Male,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,38,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,41,Male,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,17,Male,High,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for education,44,Male,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,18,Male,Medium,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for retirement,63,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,6,Male,High,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
planning a vacation,79,Male,Low,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,54,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,60,Female,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,39,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,0,Female,Low,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
purchasing for self,37,Male,High,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,36,Male,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,7,Female,High,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
saving for education,45,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,11,Female,High,3,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
planning a vacation,4,Male,High,3,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,70,Female,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,38,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,40,Male,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,62,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,70,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,80,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,34,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,80,Male,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,28,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,32,Male,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,49,Male,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,8,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
saving for retirement,21,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,50,Male,Low,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,24,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,16,Male,Low,2,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
purchasing for self,10,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
purchasing for self,32,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,8,Male,Medium,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
starting a business,59,Male,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,70,Male,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,45,Female,High,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,20,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,77,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,34,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,4,Male,Medium,2,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
planning a vacation,48,Male,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,78,Male,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,24,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,65,Male,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,43,Male,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,77,Male,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,76,Male,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,16,Male,Low,1,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,57,Male,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,5,Male,Medium,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
starting a business,8,Male,Medium,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
planning a vacation,33,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,54,Male,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,64,Female,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,32,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,2,Male,Low,4,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for retirement,27,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,80,Female,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,66,Male,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,71,Female,Low,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,45,Female,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,20,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,64,Male,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,7,Male,High,4,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
planning a vacation,24,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,65,Female,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,62,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,34,Female,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,21,Female,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,17,Female,High,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,69,Female,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,3,Female,High,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,21,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,59,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,6,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for retirement,61,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,22,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,23,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,76,Male,High,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,22,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,60,Male,High,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,10,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,78,Male,Low,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,57,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,41,Female,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,69,Female,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,39,Male,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,74,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,61,Male,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,26,Female,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,46,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,16,Male,Low,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
starting a business,1,Male,High,4,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
buying a house,78,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,9,Female,Low,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
planning a vacation,63,Female,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,63,Female,High,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,60,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,35,Female,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,8,Male,Medium,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,56,Female,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,45,Male,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,77,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,61,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,44,Male,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,52,Male,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,14,Female,Medium,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
purchasing for self,13,Male,Low,2,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for education,58,Male,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,6,Male,Medium,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
starting a business,72,Female,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,51,Male,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,14,Female,Medium,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for retirement,28,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,29,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,8,Female,High,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
planning a vacation,66,Female,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,56,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,79,Female,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,56,Female,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,56,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,37,Male,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,42,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
